benchmark,solver,type,size,time
Uniform_by_x,CPAM-H,0,11,2.000000e-06
Uniform_by_x,CPAM-H,0,50,2.000000e-06
Uniform_by_x,CPAM-H,0,12,1.000000e-06
Uniform_by_x,CPAM-H,0,38,2.000000e-06
Uniform_by_x,CPAM-H,0,52,9.000000e-06
Uniform_by_x,CPAM-H,0,19,4.000000e-06
Uniform_by_x,CPAM-H,0,33,4.000000e-06
Uniform_by_x,CPAM-H,0,22,4.000000e-06
Uniform_by_x,CPAM-H,0,97,4.000000e-06
Uniform_by_x,CPAM-H,0,47,2.000000e-06
Uniform_by_x,CPAM-H,0,34,2.000000e-06
Uniform_by_x,CPAM-H,0,13,1.000000e-06
Uniform_by_x,CPAM-H,0,50,2.000000e-06
Uniform_by_x,CPAM-H,0,44,2.000000e-06
Uniform_by_x,CPAM-H,0,16,1.000000e-06
Uniform_by_x,CPAM-H,0,28,1.000000e-06
Uniform_by_x,CPAM-H,0,6,1.000000e-06
Uniform_by_x,CPAM-H,0,64,1.000000e-05
Uniform_by_x,CPAM-H,0,2,1.000000e-06
Uniform_by_x,CPAM-H,0,62,2.000000e-06
Uniform_by_x,CPAM-H,0,20,2.000000e-06
Uniform_by_x,CPAM-H,0,42,3.000000e-06
Uniform_by_x,CPAM-H,0,6,2.000000e-06
Uniform_by_x,CPAM-H,0,36,2.000000e-06
Uniform_by_x,CPAM-H,0,57,6.000000e-06
Uniform_by_x,CPAM-H,0,26,2.000000e-06
Uniform_by_x,CPAM-H,0,31,1.000000e-06
Uniform_by_x,CPAM-H,0,19,1.800000e-05
Uniform_by_x,CPAM-H,0,22,3.000000e-06
Uniform_by_x,CPAM-H,0,82,4.000000e-06
Uniform_by_x,CPAM-H,0,36,3.000000e-06
Uniform_by_x,CPAM-H,0,46,4.000000e-06
Uniform_by_x,CPAM-H,0,33,2.000000e-06
Uniform_by_x,CPAM-H,0,13,2.000000e-06
Uniform_by_x,CPAM-H,0,42,2.000000e-06
Uniform_by_x,CPAM-H,0,8,1.000000e-06
Uniform_by_x,CPAM-H,0,34,2.000000e-06
Uniform_by_x,CPAM-H,0,97,6.000000e-06
Uniform_by_x,CPAM-H,0,37,3.000000e-06
Uniform_by_x,CPAM-H,0,60,4.000000e-06
Uniform_by_x,CPAM-H,0,28,2.000000e-06
Uniform_by_x,CPAM-H,0,32,2.000000e-06
Uniform_by_x,CPAM-H,0,25,2.000000e-06
Uniform_by_x,CPAM-H,0,41,5.000000e-06
Uniform_by_x,CPAM-H,0,30,2.000000e-06
Uniform_by_x,CPAM-H,0,11,2.000000e-06
Uniform_by_x,CPAM-H,0,89,3.000000e-06
Uniform_by_x,CPAM-H,0,39,2.000000e-06
Uniform_by_x,CPAM-H,0,50,2.000000e-06
Uniform_by_x,CPAM-H,0,43,1.000000e-06
Uniform_by_x,CPAM-H,0,1,1.000000e-06
Uniform_by_x,CPAM-H,0,42,1.000000e-06
Uniform_by_x,CPAM-H,0,9,1.000000e-06
Uniform_by_x,CPAM-H,0,33,2.000000e-06
Uniform_by_x,CPAM-H,0,7,0.000000e+00
Uniform_by_x,CPAM-H,0,42,2.000000e-06
Uniform_by_x,CPAM-H,0,17,1.000000e-06
Uniform_by_x,CPAM-H,0,25,1.000000e-06
Uniform_by_x,CPAM-H,0,12,2.000000e-06
Uniform_by_x,CPAM-H,0,37,2.000000e-06
Uniform_by_x,CPAM-H,0,64,4.000000e-06
Uniform_by_x,CPAM-H,0,32,1.000000e-06
Uniform_by_x,CPAM-H,0,32,2.000000e-06
Uniform_by_x,CPAM-H,0,65,4.000000e-06
Uniform_by_x,CPAM-H,0,54,1.000000e-06
Uniform_by_x,CPAM-H,0,36,1.000000e-06
Uniform_by_x,CPAM-H,1,684,1.600000e-05
Uniform_by_x,CPAM-H,1,8644,1.430000e-04
Uniform_by_x,CPAM-H,1,6569,7.200000e-05
Uniform_by_x,CPAM-H,1,5961,5.300000e-05
Uniform_by_x,CPAM-H,1,3013,2.700000e-05
