benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,IDU1,IDU10,IDU100,ODS1,ODS10,ODS100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform,PTree-H,0.0001,0.004297,0.00422068,0.000579333,0.00679367,42.2118,1.1544,1.95187,4.63276,1.18126,1.96221,4.63927,1.14869,1.95889,4.64601,1.18577,1.96974,4.65493,0.000441,0.004767,0.160941,0.000613333,0.00996133,1.24368
Uniform,PTree-Z,1.0,3.10883,3.10883,3.10883,3.10883,3.10883,3.62253,9.13509,22.1977,3.68975,9.20284,22.2613,3.6483,9.20894,22.2864,3.70512,9.23062,22.3071,0.000545333,0.00498367,0.227277,0.000695667,0.0102973,1.21356
Uniform,PTree-Z,0.1,0.508747,0.478331,0.243896,0.760978,4.78332,3.79297,9.14976,22.5761,3.88335,9.23182,22.6586,3.84797,9.24218,22.7125,3.90406,9.26439,22.7438,0.00061,0.00601067,0.234311,0.000761,0.010464,1.2995
Uniform,PTree-Z,0.01,0.153874,0.141626,0.0249277,0.203322,14.1627,3.77617,9.12433,22.5646,3.86696,9.20529,22.6424,3.83179,9.21716,22.6925,3.88868,9.24053,22.7192,0.000623667,0.00590967,0.235096,0.000742,0.011102,1.2998
Uniform,PTree-Z,0.001,0.0289163,0.0274192,0.00325067,0.03647,27.4197,3.77749,9.12271,22.5777,3.86714,9.20709,22.6555,3.83705,9.2208,22.7109,3.8884,9.24232,22.7376,0.000620333,0.00618867,0.235266,0.000738333,0.0107313,1.30164
Uniform,PTree-Z,0.0001,0.00426267,0.00419915,0.000774,0.007585,41.9964,3.77694,9.12047,22.5695,3.86366,9.19748,22.6484,3.83103,9.2132,22.7043,3.88714,9.23665,22.736,0.000622333,0.00598067,0.236555,0.000686667,0.0108733,1.30006
Uniform,CPAM-H,1.0,11.3425,11.3425,11.3425,11.3425,11.3425,1.43691,2.51881,5.90257,1.44541,2.50307,5.8607,1.39108,2.48363,5.84109,1.43789,2.4925,5.83315,0.000535,0.00519067,0.214836,0.000749,0.0109383,1.3914
Uniform,CPAM-H,0.1,1.76767,1.72446,1.48437,2.08303,17.2446,1.42216,2.43495,5.84666,1.43592,2.42842,5.8246,1.38608,2.41828,5.8192,1.43372,2.42884,5.82343,0.000533333,0.00594333,0.223339,0.000661,0.011407,1.45454
Uniform,CPAM-H,0.01,0.39198,0.389785,0.103176,0.628158,38.9785,1.42364,2.43423,5.84086,1.43678,2.42695,5.81852,1.38718,2.41663,5.81533,1.43405,2.42801,5.81566,0.000535667,0.006346,0.223139,0.00328433,0.0112133,1.45274
Uniform,CPAM-H,0.001,0.114827,0.107044,0.00993467,0.142931,107.044,1.42258,2.43233,5.8394,1.43466,2.42559,5.8153,1.38571,2.41465,5.80886,1.43209,2.42621,5.81203,0.000521333,0.00594933,0.225596,0.000668333,0.0114207,1.4559
Uniform,CPAM-H,0.0001,0.015679,0.0156752,0.00189233,0.0226147,156.757,1.42341,2.43282,5.84076,1.43565,2.42568,5.81475,1.38482,2.41356,5.80637,1.43196,2.42469,5.80986,0.000529667,0.005977,0.224838,0.000685333,0.011411,1.45798
Uniform,CPAM-Z,1.0,11.0093,11.0093,11.0093,11.0093,11.0093,4.73192,11.8806,27.683,4.7931,11.9391,27.7644,4.73372,11.9391,27.7937,4.80943,11.9721,27.8363,0.000822667,0.006743,0.308854,0.000824333,0.011779,1.45201
Uniform,CPAM-Z,0.1,1.67773,1.66812,1.30981,1.91237,16.6812,4.60323,11.4776,27.9063,4.6878,11.5605,27.9933,4.63782,11.5728,28.0324,4.7115,11.596,28.0596,0.0009,0.00779267,0.327332,0.000771667,0.012542,1.52476
Uniform,CPAM-Z,0.01,0.386109,0.384404,0.094482,0.629041,38.4404,4.60013,11.4559,27.8544,4.68366,11.5384,27.9462,4.63234,11.5486,27.9887,4.70549,11.5794,28.0173,0.000842333,0.007777,0.325496,0.000762,0.012628,1.52703
Uniform,CPAM-Z,0.001,0.114448,0.106253,0.00815267,0.144855,106.254,4.59431,11.4411,27.8261,4.68,11.532,27.9121,4.63045,11.5393,27.9495,4.70342,11.5615,27.9744,0.000879,0.007894,0.326197,0.000742333,0.0126253,1.52873
Uniform,CPAM-Z,0.0001,0.01566,0.0156589,0.00160233,0.0224723,156.594,4.59896,11.4587,27.8404,4.68234,11.5414,27.9204,4.63198,11.5473,27.967,4.7054,11.575,28.0101,0.000833,0.00782733,0.32546,0.000761667,0.0126003,1.52432
Uniform,KdTree,1.0,3.68976,3.68976,3.68976,3.68976,3.68976,0.220615,0.398098,1.299,0.253515,0.397918,1.27788,0.221688,0.38846,1.26091,0.256728,0.395334,1.25553,0.000349667,0.00451133,0.0977693,0.000428,0.00767233,1.09078
Uniform,KdTree,0.1,0.502435,0.436786,0.0262093,0.570793,4.36786,0.229446,0.41032,1.42037,0.261184,0.411414,1.39724,0.228919,0.40019,1.37523,0.263137,0.41015,1.36836,0.000592667,0.00513433,0.101872,0.000429,0.00794633,1.06608
Uniform,KdTree,0.01,0.122637,0.111543,0.00328433,0.141671,11.1544,0.229556,0.409884,1.41956,0.259781,0.41133,1.39553,0.228852,0.399309,1.37365,0.262521,0.409475,1.36776,0.000358667,0.005629,0.103185,0.000421667,0.00814033,1.07348
Uniform,KdTree,0.001,0.0245583,0.0229674,0.000416333,0.0284533,22.9679,0.228848,0.410377,1.4209,0.260314,0.41285,1.3965,0.229254,0.400129,1.37423,0.263239,0.410793,1.36925,0.000636,0.005138,0.103298,0.000435667,0.00807667,1.06036
Uniform,KdTree,0.0001,0.00626867,0.00597923,0.000101333,0.00922867,59.7973,0.233176,0.410527,1.41987,0.260391,0.4116,1.3969,0.229341,0.400054,1.37476,0.263392,0.410177,1.36951,0.000602,0.005707,0.104003,0.000416333,0.00801633,1.07014
Uniform,OrthTree,1.0,3.33088,3.33088,3.33088,3.33088,3.33088,0.204068,0.362062,1.2223,0.229829,0.363341,1.20084,0.203394,0.353546,1.18562,0.230378,0.360601,1.17567,0.000407333,0.00486733,0.078304,0.000528333,0.00786967,1.143
Uniform,OrthTree,0.1,0.509612,0.432335,0.0789137,0.520912,4.32335,0.211469,0.392882,1.50455,0.237793,0.396199,1.48382,0.211159,0.383121,1.46323,0.241468,0.393802,1.45577,0.000425333,0.00601,0.0866773,0.000487667,0.009326,1.17988
Uniform,OrthTree,0.01,0.117498,0.102417,0.008318,0.127389,10.2417,0.211683,0.394084,1.50882,0.238593,0.396409,1.48723,0.211625,0.384291,1.46742,0.241798,0.394677,1.45908,0.000409,0.00606,0.0878637,0.000503667,0.00923367,1.178
Uniform,OrthTree,0.001,0.0215703,0.019564,0.000483,0.0260057,19.5645,0.211809,0.394366,1.51045,0.240568,0.396991,1.48938,0.21379,0.384762,1.46867,0.241897,0.395579,1.46093,0.000410667,0.006269,0.0878913,0.000501,0.00930367,1.17607
Uniform,OrthTree,0.0001,0.003178,0.00298627,8.43333e-05,0.00684,29.8677,0.211728,0.39441,1.51108,0.239191,0.397254,1.48989,0.212219,0.384691,1.46959,0.241972,0.39561,1.46149,0.000424,0.00604833,0.088525,0.000508333,0.00914933,1.17662
